Catalog,Url,Name,Equipment,Target,Utility,Mechanics,Force,Preparation,Execution,Comment
Upper Arms,https://exrx.net/WeightExercises/Triceps/BBTriExt,Barbell Triceps Extension,Barbell, Triceps Brachii ,Basic or Auxiliary,Isolated,Push,Position barbell overhead with narrow overhand grip.,Lower forearm behind upper arm with elbows remaining overhead. Extend forearm overhead. Lower and repeat.,Let barbell pull arm back to maintain full shoulder flexion. Exercise may be performed standing or on seat with or without back support. Either straight barbell or EZ barbell can be used.
Upper Arms,https://exrx.net/WeightExercises/Triceps/CBBentoverTriExt,Cable Bent-over Triceps Extension,Cable, Triceps Brachii ,Basic or Auxiliary,Isolated,Push,"Grasp cable bar from medium high pulley with narrow or shoulder width overhand grip. Turn body away from pulley apparatus and position turned cable bar behind neck. Bend over downward with cable bar positioned behind neck, gripped at each side. Lunge forward with one leg. Allow elbows to be pulled back under cable resistance.",Extend forearms forward until elbows are straight. Allow cable bar to return back over neck. Repeat.,"Let cable resistance pull arm back to maintain degree of shoulder flexion, dependent upon flexibility."
Upper Arms,https://exrx.net/WeightExercises/Triceps/CBBentoverTriExtRope,Cable Bent-over Triceps Extension (with rope attachment),Cable, Triceps Brachii ,Basic or Auxiliary,Isolated,Push,Grasp rope attachment from medium high pulley. Turn body away from pulley apparatus and position turned rope attachment behind neck. Bend over downward with rope attachment positioned behind neck gripped at each side. Lunge forward with one leg. Allow elbows to be pulled back under cable resistance.,Extend forearms forward until elbows are straight. Allow cable bar to return back over neck. Repeat.,"Let cable resistance pull arm back to maintain degree of shoulder flexion, dependent upon flexibility."
Upper Arms,https://exrx.net/WeightExercises/Triceps/CBForwardTricepsExt,Cable Forward Triceps Extension,Cable, Triceps Brachii ,Auxiliary,Isolated,Push,Grasp stirrup from medium high pulley. Turn body away from pulley apparatus and position stirrup over shoulder with palms down. Step forward with one foot so cable is taut. Position elbow forward about shoulder height.,Push stirrup forward by extending forearm until elbow is straight. Allow stirrup to return back over shoulder. Repeat and repeat. Continue with opposite arm.,Keep elbow approximately same position throughout movement.
Upper Arms,https://exrx.net/WeightExercises/Triceps/CBInclineTriExt,Cable Incline Triceps Extension,Cable, Triceps Brachii ,Basic,Isolated,Push,Grasp cable bar from behind with narrow overhand grip. Position elbows overhead.,Extend forearm overhead until elbows are straight. Lower until forearms are against upper arms. Repeat.,"Avoid using shoulders by attempting to press bar over head. If incline is designed to pivot back, lean seat back for mount & dismount."
Upper Arms,https://exrx.net/WeightExercises/Triceps/CBKneelingTriExt,Cable Kneeling Triceps Extension,Cable, Triceps Brachii ,Basic or Auxiliary,Isolated,Push,"Grasp cable bar from middle pulley with narrow or shoulder width overhand grip. Turn body away from pulley apparatus with cable bar above head. Kneel before bench, bend over and place elbows on edge of bench. Maintain upper arms parallel with shoulders as low as possible.",Extend forearms over head until elbow are fully extended. Return and repeat.,Let cable attachment pull arm back to maintain full shoulder flexion.
Upper Arms,https://exrx.net/WeightExercises/Triceps/CBLyingTriExt,Cable Lying Triceps Extension,Cable, Triceps Brachii ,Basic,Isolated,Push,"Lie on bench and grasp bar with narrow overhand grip. With arms extended, position bar over forehead.","Lower bar by bending elbow. As bar nears head, move elbows slightly back just enough to allow bar to clear around curvature of head. Extend arm. As bar clears head, reposition elbows to its former position until arm is fully extended. Repeat.","With arms fully extended, shoulders can be internally rotated between repetitions as needed to allow for relative release of tension in muscles."
Upper Arms,https://exrx.net/WeightExercises/Triceps/CBDeclineTricepsExt,Cable Decline Triceps Extension,Cable, Triceps Brachii ,Basic,Isolated,Push,Position legs under lower leg pad and lie back on bench. Grasp bar with narrow overhand grip. Position bar near forehead or top of head.,"Extend elbows to raise bar attachment until arms are straight. As arms extended, position them vertically. Lower bar by bending elbows. As bar nears head, reposition elbows back just enough to allow bar to clear around curvature of head. Repeat.","A very low pulley and/or high decline is needed to achieve full range of motion at bottom position. With arms fully extended, shoulders can be internally rotated between repetitions as needed to allow for relative release of tension in muscles."
Upper Arms,https://exrx.net/WeightExercises/Triceps/CBPushdown,Cable Pushdown,Cable, Triceps Brachii ,Basic or Auxiliary,Isolated,Push,Face high pulley and grasp cable attachment with narrow overhand grip. Position elbows to side.,Extend arms down. Return until forearm is close to upper arm. Repeat.,The elbow can travel up slightly at top of motion. Stay close to cable to provide resistance at top of motion.
Upper Arms,https://exrx.net/WeightExercises/Triceps/CBAlternatingSeatedPushdown,Cable Alternating Seated Pushdown,Cable, Triceps Brachii ,Auxiliary,Isolated,Push,Sit on seat or bench in font of two close high pulleys. Grasp stirrup with each hand (over or underhand grip). Position elbows to side.,"Push one stirrup down by extending elbow until arm is straight. Return until forearm returns to original positon, keeping elbow close to side. Repeat with opposite arm and alternate.","If seat is positioned back behind pulleys as shown, bending forward can provide resistance at top of motion. See Angle of Pull."
Upper Arms,https://exrx.net/WeightExercises/Triceps/CBBarPushdown,Cable Bar Pushdown,Cable, Triceps Brachii ,Basic or Auxiliary,Isolated,Push,Position adjustable pulleys slightly above head. Face cable bar and grasp with overhand narrow grip. Position elbows to side.,Extend arms down. Return until forearm is close to upper arm. Repeat.,The elbow can travel up slightly at top of motion. Stay close to cable to provide resistance at top of motion.
Upper Arms,https://exrx.net/WeightExercises/Triceps/CBPushdownHeavy,Cable Pushdown (forward leaning),Cable, Triceps Brachii ,Basic or Auxiliary,Isolated,Push,Face high pulley and grasp revolving bar cable attachment with overhand grip. Position one leg back and bend forward leg with body leaning forward. Position revolving bar down in front of face with forearms nearing vertical.,Push cable bar downward by extending arms until elbows are straight. Return to front of face until forearms are nearly vertical and close to upper arm. Repeat.,"Position face close to cable to provide resistance at top of motion. Elbows is brought close to body so arms are vertical at bottom of motion, either at or near the end of full extension, or in one movement as bar is pushed downward."
Upper Arms,https://exrx.net/WeightExercises/Triceps/CBInclinePushdown,Cable Incline Pushdown,Cable, Triceps Brachii ,Auxiliary,Isolated,Push,"Lie on incline bench facing away from high pulley. Grasp cable attachment overhead with overhand narrow grip. Position elbow to sides, slightly up.",Extend arms with elbows stationary. Return until forearm is close to upper arm. Repeat.,"If high pulley is adjustable, lower pulley slightly to provide resistance at top of motion. If high pulley is fixed, position bench distance away from cable column. If incline is positioned too high, range of motion at lower position may be compromised."
Upper Arms,https://exrx.net/WeightExercises/Triceps/CBOneArmPushdown,Cable One Arm Pushdown,Cable, Triceps Brachii ,Auxiliary,Isolated,Push,Grasp dumbbell cable attachment with underhand grip. Position elbow to side.,Extend arm down. Return until forearm is close to upper arm. Repeat. Continue with opposite arm.,The elbow can travel up few inches at top of motion. Step close to cable to provide resistance at top of motion.
Upper Arms,https://exrx.net/WeightExercises/Triceps/CBPushdownSupport,Cable Pushdown (with back support),Cable, Triceps Brachii ,Basic or Auxiliary,Isolated,Push,Place back against vertical back support. Grasp cable attachment from high pulley with narrow overhand grip. Position elbows to side.,Extend arms down. Return until forearm is close to upper arm. Repeat.,Keep back against back pad throughout exercise.
Upper Arms,https://exrx.net/WeightExercises/Triceps/CBPushdownRope,Cable Pushdown (with rope attachment),Cable, Triceps Brachii ,Auxiliary,Isolated,Push,Face high pulley and grasp rope attachment with clinched hands side by side (palms in). Position elbows to side.,Extend arms down. Turn palms down at bottom. Return until forearm is close to upper arm and hands are in original position. Repeat.,The elbow can travel up slightly at top of motion. Stay close to cable to provide resistance at top of motion.
Upper Arms,https://exrx.net/WeightExercises/Triceps/CBPushdownVBar,Cable Pushdown (with V-bar),Cable, Triceps Brachii ,Auxiliary,Isolated,Push,Face high pulley and grasp V-bar attachment with narrow overhand grip. Position elbows to side.,Extend arms down. Return until forearm is close to upper arm. Repeat.,Target 
Upper Arms,https://exrx.net/WeightExercises/Triceps/CBSideTricepsExt,Cable Side Triceps Extension,Cable, Triceps Brachii ,Auxiliary,Isolated,Push,"Grasp stirrup from medium high pulley. Turn body so pulley is to side of free arm while lifting stirrup over head. Step forward, just slightly to allow stirrup to be placed behind head, just over shoulder. Place elbow just slightly higher than shoulder height and position palm down.",Push stirrup out to side by extending forearm until elbow is straight. Allow stirrup to return back over shoulder. Repeat and repeat. Continue with opposite arm.,Stand far enough away from pulley to keep cable taut in lowered position. Keep elbow approximately same position throughout movement.
Upper Arms,https://exrx.net/WeightExercises/Triceps/CBTriDip,Cable Triceps Dip,Cable, Triceps Brachii ,Basic,Compound,Push,"Step between shoulder width dip bars with dip belt around waist. Kneel as close to low pulley and attach cable to dip belt. Stand up and mount dip bar, arms straight with shoulders above hands. Keep hips straight.",Lower body by bending arms until slight stretch is felt in shoulders. Push body up until arms are straight. Repeat.,"If cable dip machine is not available, A dip bar placed in front of low pully cable. Also see rear view and Cable Chest Dip."
Upper Arms,https://exrx.net/WeightExercises/Triceps/CBTriExt,Cable Triceps Extension,Cable, Triceps Brachii ,Basic or Auxiliary,Isolated,Push,Stand or sit on bench or seat with back support just below shoulders. Position cable bar behind neck or shoulders with narrow overhand grip. Position elbows over head.,Extend forearm overhead until arms are straight. Lower until forearms are against upper arms. Repeat.,Let cable attachment pull arm back to maintain full shoulder flexion.
Upper Arms,https://exrx.net/WeightExercises/Triceps/CBOneArmTriExtPronated,Cable One Arm Triceps Extension (pronated grip),Cable, Triceps Brachii ,Auxiliary,Isolated,Push,Grasp stirrup cable attachment from behind. Place hand with cable behind neck; palm toward neck and elbow positioned upward.,Extend arm upward. Return and repeat. Continue with opposite arm.,Let cable pull arm back to maintain full shoulder flexion. Also see exercise with Supinated Grip.
Upper Arms,https://exrx.net/WeightExercises/Triceps/CBOneArmTriExt,Cable One Arm Triceps Extension (supinated grip),Cable, Triceps Brachii ,Auxiliary,Isolated,Push,Grasp stirrup cable attachment from behind. Place hand with cable behind neck; palm toward neck and elbow positioned upward.,Extend arm upward. Return and repeat. Continue with opposite arm.,Let cable pull arm back to maintain full shoulder flexion. Exercise can also be performed on traditional low pulley setup. Also see exercise with Pronated Grip.
Upper Arms,https://exrx.net/WeightExercises/Triceps/CBStandingTricepsExtensionRope,Cable Triceps Extension (with rope),Cable, Triceps Brachii  ,Basic or Auxiliary,Isolated,Push,"From low pulley cable, grasp ends of rope attachment just under enlarged ends. Raise one arm over head while turning body away from pulley. Face away from pulley with feet staggered. Position ends of ropes behind head or neck and elbows upward over head.",Raise ends of rope overhead by extending forearms until arms are straight. Lower rope attachment until forearms are against upper arms. Repeat.,Let cable attachment pull arm back to maintain full shoulder flexion.   Exercise can also be performed seated on bench or seat with back support just below shoulders.
Upper Arms,https://exrx.net/WeightExercises/Triceps/DBKickback,Dumbbell Kickback,Dumbbell, Triceps Brachii ,Auxiliary,Isolated,Push,Kneel over bench with arm supporting body. Grasp dumbbell. Position upper arm parallel to floor.,Extend arm until it is straight. Return and repeat. Continue with opposite arm.,"For greater range of motion, upper arm can be positioned with elbow slightly higher than shoulder. Also see Triceps Kickback Errors."
Upper Arms,https://exrx.net/WeightExercises/Triceps/DBLyingTriExt,Dumbbell Lying Triceps Extension,Dumbbell, Triceps Brachii ,Basic or Auxiliary,Isolated,Push,Lie on bench and position dumbbells over head with arms extended.,Lower dumbbells by bending elbow until they are to sides of head. Extend arm. Repeat.,"With arms fully extended, dumbbells can be brought to upper chest between repetitions as needed to allow for relative release of tension in muscles."
Upper Arms,https://exrx.net/WeightExercises/Triceps/DBDeclineTriExt,Dumbbell Decline Triceps Extension,Dumbbell, Triceps Brachii ,Auxiliary,Isolated,Push,Lie on decline bench and position dumbbells over shoulders with arms extended.,Lower dumbbells by bending elbow until they are to sides of head; dumbbells touch shoulder. Extend arm. Repeat.,Keep elbows pointed up or just slightly back throughout movement.
Upper Arms,https://exrx.net/WeightExercises/Triceps/DBInclineTricepsExt,Dumbbell Incline Triceps Extension,Dumbbell, Triceps Brachii ,Auxiliary,Isolated,Push,Lie supine on incline bench with back of head on upper corner of bench. Position dumbbells over head with arms extended.,Lower dumbbells by bending elbow until they are to sides of head. Extend arm and repeat.,Movement can also be performed on old fashioned incline bench without seat.
Upper Arms,https://exrx.net/WeightExercises/Triceps/DBOneArmTriExt,Dumbbell One Arm Triceps Extension,Dumbbell, Triceps Brachii ,Basic or Auxiliary,Isolated,Push,Sit on seat with back support just below shoulder height. Position dumbbell over head with arm straight up or slightly back.,Lower dumbbell behind neck or shoulder while maintaining upper arm's vertical position throughout exercise. Extend arm until straight. Return and repeat. Continue with opposite arm.,Let dumbbell pull back arm slightly to maintain full shoulder flexion. Keep elbow in so movement does not turn into overhead press. Back support sho   uld not be so high that it interferes with dumbbell being completely lowered (i.e. full range of motion). See rear view. Exercise may be performed on bench without back support.
Upper Arms,https://exrx.net/WeightExercises/Triceps/DBOneArmTriExtBench,Dumbbell One Arm Triceps Extension (on bench),Dumbbell, Triceps Brachii ,Basic or Auxiliary,Isolated,Push,Position dumbbell behind neck with elbow positioned upward.,Extend arm until straight while maintaining upper arm's vertical position throughout exercise. Return until dumbbell is behind neck or shoulder and repeat. Continue with opposite arm.,Let dumbbell pull back arm to maintain full shoulder flexion. Consider using seat with back support.
Upper Arms,https://exrx.net/WeightExercises/Triceps/DBTriExt,Dumbbell Triceps Extension,Dumbbell, Triceps Brachii ,Basic or Auxiliary,Isolated,Push,Position one dumbbell over head with both hands under inner plate (heart shaped grip).,"With elbows over head, lower forearm behind upper arm by flexing elbows. Flex wrists at bottom to avoid hitting dumbbell on back of neck. Raise dumbbell over head by extending elbows while hyperextending wrists. Return and repeat.","Position wrists closer together to keep elbows from pointing out too much. Let dumbbell pull back arm to maintain full shoulder flexion. Consider using seat with back support as illustrated. Back support should not be so high that it interferes with dumbbell being completely lowered (i.e. full range of motion). If shoulder flexion flexibility is not adequate, position hips slightly forward (as illustrated) so elbows are positioned upward. Position body more upright if shoulder flexion flexibility is adequate. See suggested mount & dismount."
Upper Arms,https://exrx.net/WeightExercises/Triceps/LVCloseGripBenchPressH,Lever Close Grip Bench Press (plate loaded),Lever, Triceps Brachii ,Basic,Compound,Push,Lie on bench with lever handles above sides of chest. Grasp handles with narrow overhand grip just above each side of chest.,Press lever up until arms are extended. Return weights down to starting position. Repeat.,Hands will be closer together at top of movement as compared to Barbell Close Grip Bench Press since lever arms travel inward at top of motion. Also see Bench Press Analysis.
Upper Arms,https://exrx.net/WeightExercises/Triceps/LVBBCloseGripBenchPress,Lever Barbell Close Grip Bench Press (plate loaded),Lever, Triceps Brachii ,Basic,Compound,Push,Lie on bench with bar above chest and grasp bar with shoulder width or slightly narrower grip. Disengage bar by rotating bar back.,Lower weight to chest with elbows close to body. Push barbell back up until arms are straight. Repeat.,Grip can be slightly narrower than shoulder width but not too close. Also see Bench Press Analysis.
Upper Arms,https://exrx.net/WeightExercises/Triceps/LVTriExtGripless,Lever Triceps Extension (plate loaded),Lever, Triceps Brachii ,Basic or Auxiliary,Isolated,Push,"Sit on seat. Place forearms on lever pad and back of upper arms, parallel on padding with elbows in line with lever's fulcrum.",Push lever down until arms are fully extended. Return and repeat.,"With heavy resistance, back pad will need to be adjusted to keep torso close to arm pad. Adjust seat height so back of upper arms rest on padding. If seat is too high, shoulder will need to rise near end of extension to complete final range of motion since forearms will make contact with pad before lockout. If seat is too low, range of motion will be compromised because elbows will not be completely flexed at beginning of movement. Also see Lever Triceps Extension on alternative apparatus."
Upper Arms,https://exrx.net/WeightExercises/Triceps/LVTricepsExtensionNoSeatPL,"Lever Triceps Extension (no seat, plate loaded)",Lever, Triceps Brachii ,Basic or Auxiliary,Isolated,Push,Stand behind arm pad facing lever handles. Place one foot forward under arm pad and opposite foot back on foot bar. Grasp handles with narrow overhand grip. Squat down and position chest up against side of pad and back of upper arms on upper angled padded surface.,Push lever down until arms are fully extended. Return and repeat.,"In effort to achieve fuller range of motion, head can be positioned down so handles can clear over head. With heavy resistance, back pad will need to be adjusted to keep torso close to arm pad. Position armpit to rest near top of pad. Back of upper arm should remain on pad throughout movement."
Upper Arms,https://exrx.net/WeightExercises/Triceps/LVTriDipH,Lever Triceps Dip (plate loaded),Lever, Triceps Brachii ,Basic,Compound,Push,"Sit upright on seat. If possible, place handles in narrow position. Grasp handles.",Push levers down with elbows pointing back. Allow lever bar to raise until shoulders are slightly stretched. Repeat.,Also see Lever Chest Dip.
Upper Arms,https://exrx.net/WeightExercises/Triceps/LVInclineTricepsExtension,Lever Incline Triceps Extension,Lever, Triceps Brachii ,Basic or Auxiliary,Isolated,Push,"Sit on seat and lie back on back support. Push foot lever down with foot and grasp lever handles from behind. With lever handles behind head, place both feet on support or floor.",Push lever handles up over head until arms are fully extended. Return and repeat.,"When finished, push foot lever down, release handles, then release foot lever."
Upper Arms,https://exrx.net/WeightExercises/Triceps/LVTricepsExtensionOH,Lever Overhead Triceps Extension,Lever, Triceps Brachii ,Basic or Auxiliary,Isolated,Push,"Sit on seat. Push foot lever down with foot and grasp lever handles from behind. With lever handles behind neck, place both feet on support or floor.",Push lever handles up over head until arms are fully extended. Return and repeat.,"When finished, push foot lever down, release handles, then release foot lever."
Upper Arms,https://exrx.net/WeightExercises/Triceps/LVPushdown,Lever Pushdown,Lever, Triceps Brachii ,Basic or Auxiliary,Isolated,Push,Sit on seat and grasp handles by shoulders. Position elbows to sides.,Push lever down beyond hips until arm is fully extended. Return and repeat.,Also see movement performed on alternative machine.
Upper Arms,https://exrx.net/WeightExercises/Triceps/LVSeatedCloseGripPress,Lever Seated Close Grip Press,Lever, Triceps Brachii ,Basic,Compound,Push,"Sit on seat with chest at height of handles. Grasp handles with shoulder width or slightly narrower overhand grip, just against sides of chest; elbows somewhat down to sides.",Press lever until arms are extended. Return weight until forearm is against upper arm. Repeat.,"If lever arms freely move together or apart, keep moderately close grip throughout movement. Triceps will not be as involved in movement if grip is lower than chest. Seat height should be adjusted so bar is at least lower chest height. Also Lever Parallel Grip Bench Press for chest."
Upper Arms,https://exrx.net/WeightExercises/Triceps/LVCloseGripInclineBenchPress,Lever Close Grip Incline Bench Press,Lever, Triceps Brachii ,Basic or Auxiliary,Compound,Push,Lie on incline bench with parallel lever bars close to sides of chest. Grasp handles with shoulder width grip.,Press lever until arms are ext   ended. Return weight until wrists are at side of chest. Repeat.,Also Lever Parallel Grip Incline Bench Press for upper chest.
Upper Arms,https://exrx.net/WeightExercises/Triceps/LVTriDip,Lever Triceps Dip,Lever, Triceps Brachii ,Basic,Compound,Push,"If possible, place handles in narrow position. Sit on seat with back against pad. Grasp handles and position elbows back.",Push levers down by straightening arms downward. Allow lever bar to raise with elbows pointing back until shoulders are slightly stretched. Repeat.  ,See Lever Chest Dip with overhand grip and on machine facing fulcrum. Also see Lever Chest Dip.
Upper Arms,https://exrx.net/WeightExercises/Triceps/LVTriDip2,Lever Triceps Dip,Lever, Triceps Brachii ,Basic,Compound,Push,"If possible, place handles in narrow position. Sit on seat with legs under pads. Grasp handles and position elbows back.",Push levers down by straightening arms downward. Allow lever bar to raise with elbows pointing back until shoulders are slightly stretched. Repeat.,See exercise on alternative machine. Also see Lever Chest Dip on machine facing away from fulcrum and Lever Chest Dip.
Upper Arms,https://exrx.net/WeightExercises/Triceps/LVOverhandTriDip,Lever Overhand Triceps Dip,Lever, Triceps Brachii ,Basic,Compound,Push,Sit on seat with back against pad. Gra   sp end of handles with overhand grip and position elbows back.,Push levers down by straightening arms downward. Allow lever bar to raise with elbows pointing back until shoulders are slightly stretched. Repeat.,Also see parallel grip Lever Triceps Dip and Lever Chest Dip.
Upper Arms,https://exrx.net/WeightExercises/Triceps/LVTriExt,Lever Triceps Extension,Lever, Triceps Brachii ,Basic or Auxiliary,Isolated,Push,Sit on seat. Grasp handles and place back of upper arms parallel on padding with elbows approximately in line with lever's fulcrum.,Push lever down until arms are fully extended. Return until forearms contact upper arms. Repeat.,"With heavy resistance, back pad will need to be adjusted to keep torso close to arm pad. Adjust seat height, so back of upper arms rest on padding. If seat is too high, shoulder will need to rise near end of extension to complete final range of motion since forearms will make contact with pad before lockout. If seat is too low, range of motion will be compromised because elbows will not be completely flexed at beginning of movement."
Upper Arms,https://exrx.net/WeightExercises/Triceps/LVTriExt2,Lever Triceps Extension,Lever, Triceps Brachii ,Basic or Auxiliary,Isolated,Push,Sit on seat with arm pads apart to sides. Slide arm pads closer together to sides of the chest. Grasp handles and places back of upper arms on padding.,Push the lever down until arms are fully extended. Return until forearms contact upper arms. Repeat.,"To position elbows higher than the shoulder, position seat lower. To position elbows lower than shoulders, position seat higher. Also, see Lever Triceps Extension on alternative apparatus."
Upper Arms,https://exrx.net/WeightExercises/Triceps/LVAltTriExt,Lever Alternating Triceps Extension,Lever, Triceps Brachii ,Basic or Auxiliary,Isolated,Push,Sit on seat. Grasp handles and place back of upper arms on padding.,Push one lever out and down until arm is fully extended. Return until forearm contacts upper arm. Repeat with opposite arm. Continue alternating movement between arms.,"If machine has secondary lever (as shown), elbows do not have to be exactly aligned with primary fulcrum."
Upper Arms,https://exrx.net/WeightExercises/Triceps/SLStandingTricepsDip,Sled Standing Triceps Dip,Sled, Lever Dip Machine A (video) Lever Dip Machine B ,Basic,Compound,Push,"Stand between handles facing machine. Grasp parallel handles and position elbows back. Squat down slightly by bending hips and knees, just enough to raise selected weight up from remaining weight stack.",Push levers down by straightening arms downward. Allow lever bar to raise with elbows pointing back until slight stretch is felt in shoulders. Repeat.,This particular machine design is rare. See typical dip machines:​​​​
Upper Arms,https://exrx.net/WeightExercises/Triceps/SMCloseGripBenchPress,Smith Close Grip Bench Press,Smith, Triceps Brachii ,Basic,Compound,Push,Lie on bench with bar above chest and grasp bar with shoulder width or slightly narrower grip. Disengage bar by rotating bar back.,Lower weight to chest with elbows close to body. Push bar back up until arms are straight. Repeat.,Grip can be slightly narrower than shoulder width but not too close. Also see Bench Press Analysis.  
Upper Arms,https://exrx.net/WeightExercises/Triceps/SMCloseGripInclineBenchPress,Smith Close Grip Incline Bench Press,Smith, Triceps Brachii ,Basic or Auxiliary,Compound,Push,Lie on incline bench with bar above chest and grasp bar with shoulder width or slightly narrower grip. Disengage bar by rotating bar back.,Lower weight to chest with elbows close to body. Push bar back up until arms are straight. Repeat.,Grip can be slightly narrower than shoulder width but not too close. Also see Bench Press Analysis.
Upper Arms,https://exrx.net/WeightExercises/Triceps/WtBenchDip,Weighted Bench Dip,Weighted, Triceps Brachii ,Basic,Compound,Push,"Sit on inside of one of two benches placed parallel, slightly less than leg's length away. Place hands on edge of bench. Straighten arms, slide rear end off of edge of bench and position heels on adjacent bench with legs straight. Have assistant place weight on lap near hips.","Lower body by bending arms until slight stretch is felt in chest or shoulder, or rear end touches floor. Raise body and repeat.","Bench height should allow for full range of motion. If assistant is not available, place weight on lap sitting on floor or edge of bench."
Upper Arms,https://exrx.net/WeightExercises/Triceps/WtPushup,Weighted Close Grip Push-up,Weighted, Triceps Brachii ,Basic,Compound,Push,Lie prone on floor with hands under shoulders or slightly narrower. Position body up off floor with extended arms and body straight. Partner can place weight plate(s) on back if needed.,"Keeping body straight, lower body to floor by bending arms. Push body up until arms are extended. Repeat.","Both upper and lower body must be kept straight throughout movement. Exercise can be performed without additional weight (See Close Grip Pushup without weight). If additional weight is used, partner will need to add and remove weight, and keep weight from sliding off back. See wider grip push-up."
Upper Arms,https://exrx.net/WeightExercises/Triceps/WtTriDip,Weighted Triceps Dip,Weighted, Triceps Brachii ,Basic,Compound,Push,"Place weight on dip belt around waist or place dumbbell between lower legs just above feet. Mount shoulder width dip bar, arms straight with shoulders above hands. Keep hips straight.",Lower body until slight stretch is felt in shoulders. Push body up until arms are straight. Repeat.,Also see Weighted Chest Dips.
Upper Arms,https://exrx.net/WeightExercises/Triceps/ASTricepsDipBand,Band-assisted Triceps Dip,Band-assisted, Machine assisted Self-assisted ,Basic,Compound,Push,Place one foot on middle of exercise band with ends looped on shoulder width dip bars. Push band down partially by extending leg. Mount dip bar with arms straight and shoulders above hands. Place other foot on exercise band next to other foot. Keep hips straight.,Lower body until slight stretch is felt in shoulders. Push body up until arms are straight. Repeat.,Also see Band-assisted Chest Dips.
Upper Arms,https://exrx.net/WeightExercises/Triceps/BWBenchDip,Bench Dip,Bench, Heels on Floor ,Basic,Compound,Push,"Sit on inside of one of two benches placed parallel, slightly less than leg's length away. Place hands on edge of bench, straighten arms, slide rear end off of bench, and position heels on adjacent bench with legs straight.","Lower body by bending arms until slight stretch is felt in chest or shoulder, or rear end touches floor. Raise body and repeat.",Bench height should allow for full range of motion.
Upper Arms,https://exrx.net/WeightExercises/Triceps/BWBenchDipBentKnee,Bench Dip (knees bent),Bench, Legs Extended ,Basic,Compound,Push,"Sit on side of bench. Place hands on edge of bench. Place feet on floor away from bench. Straighten arms, slide rear end off of edge of bench, and position feet on floor with knees bent.","Lower body by bending arms until slight stretch is felt in chest or shoulder, or rear end touches floor. Raise body and repeat.",Bench height should allow for full range of motion.
Upper Arms,https://exrx.net/WeightExercises/Triceps/BWBenchDipFloor,Bench Dip (heels on floor),Bench, Knees Bent ,Basic,Compound,Push,"Sit on side of bench. Place hands on edge of bench. Position feet away from bench. Straighten arms, slide rear end off of edge of bench, and rest heels on floor with legs straight.","Lower body by bending arms until slight stretch is felt in chest or shoulder, or rear end touches floor. Raise body and repeat.",Bench height should allow for full range of motion.
Upper Arms,https://exrx.net/WeightExercises/Triceps/BWCloseGripPushup,Close Grip Push-up,Close, Bent knee Incline ,Basic,Compound,Push,Lie prone on floor with hands under shoulders or slightly narrower. Position body up off floor with extended arms and body straight.,"Keeping body straight, lower body to floor by bending arms. Push body up until arms are extended. Repeat.",Both upper and lower body must be kept straight throughout movement. See wider grip push-up.
Upper Arms,https://exrx.net/WeightExercises/Triceps/BWCloseGripPushupKnees,Close Grip Push-up (on knees),Close, Incline Push-ups ,Basic,Compound,Push,Lie prone on floor with hands under shoulders or slightly narrower. Position body up off floor with extended arms and body straight.,"Keeping body straight, lower body to floor by bending arms. Push body up until arms are extended. Repeat.",Both upper and lower body must be kept straight throughout movement. Forefeet can remain on floor as long as body is pivoting on knees. Also see close grip variation and wider grip push-ups on knees.
Upper Arms,https://exrx.net/WeightExercises/Triceps/BWCloseGripPushupMB,Close Grip Push-up (on medicine ball),Close, Triceps Brachii ,Specialized,Compound,Push,"Kneel before medicine ball. Place hands on upper part of ball on each side. Balance upper body above ball with arms extended. Straighten body and place forefeet back, away from ball on floor shoulder width apart.","Keeping body straight, lower body by bending arms until chest touches ball. Push body up until arms are extended. Repeat.",Both upper and lower body must be kept straight throughout movement. Also see close grip push-up on floor.
Upper Arms,https://exrx.net/WeightExercises/Triceps/BWCloseGripInclinePushupBar,Close Grip Incline Push-up (on bar),Close, Resistance can be reduced by performing exercise on higher bar or edge of platform. ,Basic,Compound,Push,Grasp horizontal bar (lower than chest height) with hands shoulder width or slightly narrower. Position forefeet back from bar with arms and body straight. Arms should be perpendicular to body.,"Keeping body straight, lower chest to bar by bending arms. Push body up until arms are extended. Repeat.",Both upper and lower body must be kept straight throughout movement. Height of bar affects difficulty of movement. See Gravity Vectors for greater understanding of how body angle influences resistance. Also see wider grip push-up.
Upper Arms,https://exrx.net/WeightExercises/Triceps/BWSuspendedTricepsExtension,Suspended Triceps Extension (with rope),Suspended, with bar slightly lower ,Basic or Auxiliary,Isolated,Push,"Grasp triceps rope hanging from secured bar (chest height or lower). Position forefeet on floor, back from bar with body straight. Elbows can be either be completely bent or straight during mount with upper arms somewhat perpendicular with body.","Keeping body straight, raise body up and back up until arms are extended. Lower body by bending elbows, allowing head to travel between ends of rope. Repeat.","Instead of 1 Triceps Rope (as shown), 2 ab slings or 2 nylon/cloth Stirrups with long straps can also be used (see how to loop cable stirrup onto bar) with overhand grip. Both upper and lower body must be kept straight throughout movement. Height of bar affects difficulty of movement. See Gravity Vectors for greater understanding of how body angle influences resistance. Also see Suspended Triceps Extension with Suspension Trainer."
